epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
52,1386.11,0.90212,1.61095,0.7625,1.01239,0.72625,0.6553,0.67571,0.4466,0.66859,0.59219,0.62039,0.31096,1.27929,2.6393,1.26574,1.19714,0.00039902,0.00039902,0.00039902
53,1411.02,0.94105,1.64225,0.78141,1.04207,0.72625,0.6553,0.67571,0.4466,0.66859,0.59219,0.62039,0.31096,1.27929,2.6393,1.26574,1.19714,0.00039704,0.00039704,0.00039704
54,1435.57,0.93661,1.61186,0.8189,1.06902,0.7018,0.6506,0.68171,0.45592,0.61174,0.64364,0.63179,0.31922,1.2384,2.60486,1.29357,1.17956,0.00039506,0.00039506,0.00039506
55,1460.64,0.8779,1.56073,0.81681,1.02179,0.7018,0.6506,0.68171,0.45592,0.61174,0.64364,0.63179,0.31922,1.2384,2.60486,1.29357,1.17956,0.00039308,0.00039308,0.00039308
56,1484.89,0.87676,1.49756,0.75766,1.03047,0.6672,0.67011,0.70161,0.47724,0.64381,0.60404,0.63311,0.342,1.19458,2.44572,1.19016,1.16155,0.0003911,0.0003911,0.0003911
57,1509.41,0.8791,1.41778,0.73088,1.0319,0.6672,0.67011,0.70161,0.47724,0.64381,0.60404,0.63311,0.342,1.19458,2.44572,1.19016,1.16155,0.00038912,0.00038912,0.00038912
58,1533.85,0.89078,1.50692,0.76347,1.02583,0.6991,0.68201,0.71652,0.4883,0.69551,0.61195,0.64891,0.34931,1.19843,2.46612,1.21894,1.16058,0.00038714,0.00038714,0.00038714
59,1558.72,0.88826,1.45881,0.78012,1.03372,0.6991,0.68201,0.71652,0.4883,0.69551,0.61195,0.64891,0.34931,1.19843,2.46612,1.21894,1.16058,0.00038516,0.00038516,0.00038516
60,1585.48,0.89162,1.60756,0.76544,1.02771,0.71683,0.68278,0.71732,0.47478,0.67178,0.64613,0.65264,0.34922,1.2314,2.52948,1.21759,1.1711,0.00038318,0.00038318,0.00038318
61,1610.15,0.87378,1.50242,0.74992,1.02305,0.71683,0.68278,0.71732,0.47478,0.67178,0.64613,0.65264,0.34922,1.2314,2.52948,1.21759,1.1711,0.0003812,0.0003812,0.0003812
62,1635.21,0.92304,1.60247,0.77647,1.01913,0.76233,0.64015,0.70797,0.45377,0.71801,0.60003,0.65567,0.33814,1.27242,2.51609,1.18537,1.2007,0.00037922,0.00037922,0.00037922
63,1660.15,0.90179,1.53196,0.7829,1.06792,0.76233,0.64015,0.70797,0.45377,0.71801,0.60003,0.65567,0.33814,1.27242,2.51609,1.18537,1.2007,0.00037724,0.00037724,0.00037724
64,1686.96,0.85149,1.54331,0.71753,1.00444,0.70657,0.65268,0.69663,0.46444,0.64431,0.5746,0.61769,0.33635,1.2309,2.51913,1.20987,1.18679,0.00037526,0.00037526,0.00037526
65,1712.35,0.81206,1.52667,0.70687,0.99196,0.70657,0.65268,0.69663,0.46444,0.64431,0.5746,0.61769,0.33635,1.2309,2.51913,1.20987,1.18679,0.00037328,0.00037328,0.00037328
66,1736.97,0.83053,1.53386,0.74585,1.02623,0.66916,0.67462,0.6962,0.47543,0.58863,0.60637,0.60089,0.33811,1.17944,2.51174,1.18695,1.16424,0.0003713,0.0003713,0.0003713
67,1761.54,0.86282,1.44524,0.75885,1.03112,0.66916,0.67462,0.6962,0.47543,0.58863,0.60637,0.60089,0.33811,1.17944,2.51174,1.18695,1.16424,0.00036932,0.00036932,0.00036932
